# GWOSC-format GWTC-3 toy fixture for Phase-1 calibration tests (development only)
# Not real LIGO/Virgo inference products — use official GWOSC catalog for production.
commonName,mass_1_source,mass_2_source,chi_p,mass_1_source_lower,mass_1_source_upper
GW150914,35.6,30.6,0.05,34.0,37.0
GW151012,23.0,13.0,0.12,21.5,24.5
GW151226,20.5,14.8,0.08,19.0,22.0
GW170104,31.2,19.4,0.18,29.0,33.5
GW170608,12.0,7.0,0.03,11.0,13.0
GW170729,50.0,34.0,0.55,47.0,53.0
GW170809,35.0,24.0,0.22,33.0,37.0
GW170814,30.5,25.3,0.06,29.0,32.0
GW170817,1.46,1.27,0.01,1.3,1.6
GW170818,35.0,27.0,0.35,33.0,37.0
GW170823,39.0,29.0,0.28,37.0,41.0
GW190412,30.0,8.0,0.42,28.0,32.0
GW190521,85.0,66.0,0.72,80.0,90.0
GW190814,25.0,2.6,0.15,23.0,27.0
GW200115,35.0,35.0,0.15,33.0,37.0
GW200220,80.0,56.0,0.45,75.0,85.0
GW200311,40.0,33.0,0.08,38.0,42.0
GW200316,26.0,24.0,0.09,24.0,28.0
