gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,1,2,5,11,6,,,,,True
anchor_enumeration,2,3,11,101,90,,,,,True
anchor_enumeration,3,4,101,191,90,,,,,True
anchor_enumeration,4,5,191,821,630,,,,,True
anchor_enumeration,5,6,821,1481,660,,,,,True
anchor_enumeration,6,7,1481,1871,390,,,,,True
anchor_enumeration,7,8,1871,2081,210,,,,,True
anchor_enumeration,8,9,2081,3251,1170,,,,,True
anchor_enumeration,9,10,3251,3461,210,,,,,True
anchor_enumeration,10,11,3461,5651,2190,,,,,True
anchor_enumeration,11,12,5651,9431,3780,,,,,True
anchor_enumeration,12,13,9431,13001,3570,,,,,True
anchor_enumeration,13,14,13001,15641,2640,,,,,True
anchor_enumeration,14,15,15641,15731,90,,,,,True
anchor_enumeration,15,16,15731,16061,330,,,,,True
anchor_enumeration,16,17,16061,18041,1980,,,,,True
anchor_enumeration,17,18,18041,18911,870,,,,,True
anchor_enumeration,18,19,18911,19421,510,,,,,True
anchor_enumeration,19,20,19421,21011,1590,,,,,True
anchor_enumeration,20,21,21011,22271,1260,,,,,True
anchor_enumeration,21,22,22271,25301,3030,,,,,True
anchor_enumeration,22,23,25301,31721,6420,,,,,True
anchor_enumeration,23,24,31721,34841,3120,,,,,True
anchor_enumeration,24,25,34841,43781,8940,,,,,True
anchor_enumeration,25,26,43781,51341,7560,,,,,True
anchor_enumeration,26,27,51341,55331,3990,,,,,True
anchor_enumeration,27,28,55331,62981,7650,,,,,True
anchor_enumeration,28,29,62981,67211,4230,,,,,True
anchor_enumeration,29,30,67211,69491,2280,,,,,True
anchor_enumeration,30,31,69491,72221,2730,,,,,True
anchor_enumeration,31,32,72221,77261,5040,,,,,True
anchor_enumeration,32,33,77261,79691,2430,,,,,True
anchor_enumeration,33,34,79691,81041,1350,,,,,True
anchor_enumeration,34,35,81041,82721,1680,,,,,True
anchor_enumeration,35,36,82721,88811,6090,,,,,True
anchor_enumeration,36,37,88811,97841,9030,,,,,True
anchor_enumeration,37,38,97841,99131,1290,,,,,True
anchor_enumeration,38,39,99131,101111,1980,,,,,True
anchor_enumeration,39,40,101111,109841,8730,,,,,True
anchor_enumeration,40,41,109841,116531,6690,,,,,True
anchor_enumeration,41,42,116531,119291,2760,,,,,True
anchor_enumeration,42,43,119291,122201,2910,,,,,True
anchor_enumeration,43,44,122201,135461,13260,,,,,True
anchor_enumeration,44,45,135461,144161,8700,,,,,True
anchor_enumeration,45,46,144161,157271,13110,,,,,True
anchor_enumeration,46,47,157271,165701,8430,,,,,True
anchor_enumeration,47,48,165701,166841,1140,,,,,True
anchor_enumeration,48,49,166841,171161,4320,,,,,True
anchor_enumeration,49,50,171161,187631,16470,,,,,True
anchor_enumeration,50,51,187631,194861,7230,,,,,True
anchor_enumeration,51,52,194861,195731,870,,,,,True
anchor_enumeration,52,53,195731,201491,5760,,,,,True
anchor_enumeration,53,54,201491,201821,330,,,,,True
anchor_enumeration,54,55,201821,217361,15540,,,,,True
anchor_enumeration,55,56,217361,225341,7980,,,,,True
anchor_enumeration,56,57,225341,240041,14700,,,,,True
anchor_enumeration,57,58,240041,243701,3660,,,,,True
anchor_enumeration,58,59,243701,247601,3900,,,,,True
anchor_enumeration,59,60,247601,247991,390,,,,,True
anchor_enumeration,60,61,247991,257861,9870,,,,,True
anchor_enumeration,61,62,257861,260411,2550,,,,,True
anchor_enumeration,62,63,260411,266681,6270,,,,,True
anchor_enumeration,63,64,266681,268811,2130,,,,,True
anchor_enumeration,64,65,268811,276041,7230,,,,,True
anchor_enumeration,65,66,276041,284741,8700,,,,,True
anchor_enumeration,66,67,284741,285281,540,,,,,True
anchor_enumeration,67,68,285281,294311,9030,,,,,True
anchor_enumeration,68,69,294311,295871,1560,,,,,True
anchor_enumeration,69,70,295871,299471,3600,,,,,True
anchor_enumeration,70,71,299471,300491,1020,,,,,True
anchor_enumeration,71,72,300491,301991,1500,,,,,True
anchor_enumeration,72,73,301991,326141,24150,,,,,True
anchor_enumeration,73,74,326141,334421,8280,,,,,True
anchor_enumeration,74,75,334421,340931,6510,,,,,True
anchor_enumeration,75,76,340931,346391,5460,,,,,True
anchor_enumeration,76,77,346391,347981,1590,,,,,True
anchor_enumeration,77,78,347981,354251,6270,,,,,True
anchor_enumeration,78,79,354251,358901,4650,,,,,True
anchor_enumeration,79,80,358901,361211,2310,,,,,True
anchor_enumeration,80,81,361211,375251,14040,,,,,True
anchor_enumeration,81,82,375251,388691,13440,,,,,True
anchor_enumeration,82,83,388691,389561,870,,,,,True
anchor_enumeration,83,84,389561,392261,2700,,,,,True
anchor_enumeration,84,85,392261,394811,2550,,,,,True
anchor_enumeration,85,86,394811,397541,2730,,,,,True
anchor_enumeration,86,87,397541,397751,210,,,,,True
anchor_enumeration,87,88,397751,402131,4380,,,,,True
anchor_enumeration,88,89,402131,402761,630,,,,,True
anchor_enumeration,89,90,402761,412031,9270,,,,,True
