index,p1,p2,p3,p4,channels,span,gaps,canonical
1,5,7,11,13,"A,B,C,E",8,"2,4,2",True
2,17,19,23,37,"A,B,C,E",20,"2,4,14",False
3,29,31,47,61,"A,B,C,E",32,"2,16,14",False
4,41,43,59,73,"A,B,C,E",32,"2,16,14",False
5,53,67,71,97,"A,B,C,E",44,"14,4,26",False
6,79,83,89,109,"B,C,A,E",30,"4,6,20",False
7,101,103,107,157,"A,B,C,E",56,"2,4,50",False
8,113,127,131,181,"A,B,C,E",68,"14,4,50",False
9,137,139,167,193,"A,B,C,E",56,"2,28,26",False
10,149,151,179,229,"A,B,C,E",80,"2,28,50",False
11,163,173,191,241,"B,A,C,E",78,"10,18,50",False
12,197,199,227,277,"A,B,C,E",80,"2,28,50",False
13,211,233,239,313,"B,A,C,E",102,"22,6,74",False
14,223,251,257,337,"B,C,A,E",114,"28,6,80",False
15,263,269,271,349,"C,A,B,E",86,"6,2,78",False
16,281,283,311,373,"A,B,C,E",92,"2,28,62",False
17,293,307,347,397,"A,B,C,E",104,"14,40,50",False
18,317,331,359,409,"A,B,C,E",92,"14,28,50",False
19,353,367,383,421,"A,B,C,E",68,"14,16,38",False
20,379,389,419,433,"B,A,C,E",54,"10,30,14",False
21,401,431,439,457,"A,C,B,E",56,"30,8,18",False
22,443,449,463,541,"C,A,B,E",98,"6,14,78",False
23,461,467,487,577,"A,C,B,E",116,"6,20,90",False
24,479,499,509,601,"C,B,A,E",122,"20,10,92",False
25,491,521,523,613,"C,A,B,E",122,"30,2,90",False
26,503,547,557,661,"C,B,A,E",158,"44,10,104",False
27,563,569,571,673,"C,A,B,E",110,"6,2,102",False
28,587,593,607,709,"C,A,B,E",122,"6,14,102",False
29,599,617,619,733,"C,A,B,E",134,"18,2,114",False
30,631,641,647,757,"B,A,C,E",126,"10,6,110",False
31,643,653,659,769,"B,A,C,E",126,"10,6,110",False
32,677,683,691,829,"A,C,B,E",152,"6,8,138",False
33,701,719,727,853,"A,C,B,E",152,"18,8,126",False
34,739,743,761,877,"B,C,A,E",138,"4,18,116",False
35,751,773,827,937,"B,A,C,E",186,"22,54,110",False
36,787,797,839,997,"B,A,C,E",210,"10,42,158",False
37,809,811,863,1009,"A,B,C,E",200,"2,52,146",False
38,821,823,887,1021,"A,B,C,E",200,"2,64,134",False
39,857,859,911,1033,"A,B,C,E",176,"2,52,122",False
40,881,883,947,1069,"A,B,C,E",188,"2,64,122",False
41,907,929,971,1093,"B,A,C,E",186,"22,42,122",False
42,919,941,983,1117,"B,A,C,E",198,"22,42,134",False
43,953,967,1019,1129,"A,B,C,E",176,"14,52,110",False
44,977,991,1031,1153,"A,B,C,E",176,"14,40,122",False
45,1013,1039,1091,1201,"A,B,C,E",188,"26,52,110",False
46,1049,1051,1103,1213,"A,B,C,E",164,"2,52,110",False
47,1061,1063,1151,1237,"A,B,C,E",176,"2,88,86",False
48,1087,1097,1163,1249,"B,A,C,E",162,"10,66,86",False
49,1109,1123,1187,1297,"A,B,C,E",188,"14,64,110",False
50,1171,1181,1223,1321,"B,A,C,E",150,"10,42,98",False
51,1193,1231,1259,1381,"A,B,C,E",188,"38,28,122",False
52,1217,1279,1283,1429,"A,B,C,E",212,"62,4,146",False
53,1229,1291,1307,1453,"A,B,C,E",224,"62,16,146",False
54,1277,1303,1319,1489,"A,B,C,E",212,"26,16,170",False
55,1289,1327,1367,1549,"A,B,C,E",260,"38,40,182",False
56,1301,1399,1427,1597,"A,B,C,E",296,"98,28,170",False
