step_index,prime,size_before,size_after,overlap_size,collection_before,collection_after,recorded_quadruple_index,build_index
1,5,0,1,0,,5,,1
2,7,1,2,1,5,"5,7",,1
3,11,2,3,2,"5,7","5,7,11",,1
4,13,3,4,3,"5,7,11","5,7,11,13",1,1
5,17,0,1,0,,17,,2
6,19,1,2,1,17,"17,19",,2
7,23,2,3,2,"17,19","17,19,23",,2
8,29,3,3,3,"17,19,23","17,19,23",,2
9,31,3,3,2,"17,19,23","17,23,31",,2
10,37,3,4,3,"17,23,31","17,23,31,37",2,2
11,41,0,1,0,,41,,3
12,43,1,2,1,41,"41,43",,3
13,47,2,3,2,"41,43","41,43,47",,3
14,53,3,3,3,"41,43,47","41,43,47",,3
15,59,3,3,3,"41,43,47","41,43,47",,3
16,61,3,4,3,"41,43,47","41,43,47,61",3,3
17,67,0,1,0,,67,,4
18,71,1,2,1,67,"67,71",,4
19,73,2,3,2,"67,71","67,71,73",,4
20,79,3,3,3,"67,71,73","67,71,73",,4
21,83,3,3,2,"67,71,73","67,73,83",,4
22,89,3,4,3,"67,73,83","67,73,83,89",4,4
23,97,0,1,0,,97,,5
24,101,1,2,1,97,"97,101",,5
25,103,2,3,2,"97,101","97,101,103",,5
26,107,3,4,3,"97,101,103","97,101,103,107",5,5
27,109,0,1,0,,109,,6
28,113,1,2,1,109,"109,113",,6
29,127,2,3,2,"109,113","109,113,127",,6
30,131,3,4,3,"109,113,127","109,113,127,131",6,6
31,137,0,1,0,,137,,7
32,139,1,2,1,137,"137,139",,7
33,149,2,2,2,"137,139","137,139",,7
34,151,2,2,2,"137,139","137,139",,7
35,157,2,3,2,"137,139","137,139,157",,7
36,163,3,3,2,"137,139,157","137,157,163",,7
37,167,3,4,3,"137,157,163","137,157,163,167",7,7
38,173,0,1,0,,173,,8
39,179,1,2,1,173,"173,179",,8
40,181,2,3,2,"173,179","173,179,181",,8
41,191,3,3,2,"173,179,181","173,181,191",,8
42,193,3,3,2,"173,181,191","173,191,193",,8
43,197,3,3,3,"173,191,193","173,191,193",,8
44,199,3,4,3,"173,191,193","173,191,193,199",8,8
45,211,0,1,0,,211,,9
46,223,1,1,0,211,223,,9
47,227,1,2,1,223,"223,227",,9
48,229,2,3,2,"223,227","223,227,229",,9
49,233,3,4,3,"223,227,229","223,227,229,233",9,9
50,239,0,1,0,,239,,10
51,241,1,2,1,239,"239,241",,10
52,251,2,2,2,"239,241","239,241",,10
53,257,2,3,2,"239,241","239,241,257",,10
54,263,3,3,3,"239,241,257","239,241,257",,10
55,269,3,3,3,"239,241,257","239,241,257",,10
56,271,3,4,3,"239,241,257","239,241,257,271",10,10
57,277,0,1,0,,277,,11
58,281,1,2,1,277,"277,281",,11
59,283,2,3,2,"277,281","277,281,283",,11
60,293,3,3,2,"277,281,283","277,283,293",,11
61,307,3,3,2,"277,283,293","277,293,307",,11
62,311,3,4,3,"277,293,307","277,293,307,311",11,11
63,313,0,1,0,,313,,12
64,317,1,2,1,313,"313,317",,12
65,331,2,3,2,"313,317","313,317,331",,12
66,337,3,3,3,"313,317,331","313,317,331",,12
67,347,3,4,3,"313,317,331","313,317,331,347",12,12
68,349,0,1,0,,349,,13
69,353,1,2,1,349,"349,353",,13
70,359,2,3,2,"349,353","349,353,359",,13
71,367,3,4,3,"349,353,359","349,353,359,367",13,13
72,373,0,1,0,,373,,14
73,379,1,2,1,373,"373,379",,14
74,383,2,3,2,"373,379","373,379,383",,14
75,389,3,4,3,"373,379,383","373,379,383,389",14,14
76,397,0,1,0,,397,,15
77,401,1,2,1,397,"397,401",,15
78,409,2,2,2,"397,401","397,401",,15
79,419,2,3,2,"397,401","397,401,419",,15
80,421,3,3,3,"397,401,419","397,401,419",,15
81,431,3,3,3,"397,401,419","397,401,419",,15
82,433,3,3,3,"397,401,419","397,401,419",,15
83,439,3,4,3,"397,401,419","397,401,419,439",15,15
84,443,0,1,0,,443,,16
85,449,1,2,1,443,"443,449",,16
86,457,2,3,2,"443,449","443,449,457",,16
87,461,3,3,2,"443,449,457","443,457,461",,16
88,463,3,4,3,"443,457,461","443,457,461,463",16,16
89,467,0,1,0,,467,,17
90,479,1,1,0,467,479,,17
91,487,1,2,1,479,"479,487",,17
92,491,2,2,2,"479,487","479,487",,17
93,499,2,2,2,"479,487","479,487",,17
