index,p1,p2,p3,p4,channels,span,gaps,canonical
1,5,7,11,13,"A,B,C,E",8,"2,4,2",True
2,17,23,31,37,"A,C,B,E",20,"6,8,6",False
3,41,43,47,61,"A,B,C,E",20,"2,4,14",False
4,67,73,83,89,"B,E,C,A",22,"6,10,6",False
5,97,101,103,107,"E,A,B,C",10,"4,2,4",False
6,109,113,127,131,"E,A,B,C",22,"4,14,4",False
7,137,157,163,167,"A,E,B,C",30,"20,6,4",False
8,173,191,193,199,"A,C,E,B",26,"18,2,6",False
9,223,227,229,233,"B,C,E,A",10,"4,2,4",False
10,239,241,257,271,"C,E,A,B",32,"2,16,14",False
11,277,293,307,311,"E,A,B,C",34,"16,14,4",False
12,313,317,331,347,"E,A,B,C",34,"4,14,16",False
13,349,353,359,367,"E,A,C,B",18,"4,6,8",False
14,373,379,383,389,"E,B,C,A",16,"6,4,6",False
15,397,401,419,439,"E,A,C,B",42,"4,18,20",False
16,443,457,461,463,"C,E,A,B",20,"14,4,2",False
17,479,509,523,541,"C,A,B,E",62,"30,14,18",False
18,547,563,569,577,"B,C,A,E",30,"16,6,8",False
19,587,593,601,607,"C,A,E,B",20,"6,8,6",False
20,613,641,643,647,"E,A,B,C",34,"28,2,4",False
21,653,661,683,691,"A,E,C,B",38,"8,22,8",False
22,701,709,719,727,"A,E,C,B",26,"8,10,8",False
23,733,743,751,761,"E,C,B,A",28,"10,8,10",False
24,769,821,823,827,"E,A,B,C",58,"52,2,4",False
25,829,839,857,859,"E,C,A,B",30,"10,18,2",False
26,863,877,881,883,"C,E,A,B",20,"14,4,2",False
27,887,907,929,937,"C,B,A,E",50,"20,22,8",False
28,941,971,991,997,"A,C,B,E",56,"30,20,6",False
29,1009,1013,1019,1039,"E,A,C,B",30,"4,6,20",False
30,1049,1069,1087,1091,"A,E,B,C",42,"20,18,4",False
31,1093,1103,1109,1123,"E,C,A,B",30,"10,6,14",False
32,1129,1151,1171,1181,"E,C,B,A",52,"22,20,10",False
33,1187,1201,1217,1231,"C,E,A,B",44,"14,16,14",False
34,1249,1259,1277,1279,"E,C,A,B",30,"10,18,2",False
35,1283,1289,1291,1297,"C,A,B,E",14,"6,2,6",False
36,1301,1303,1307,1321,"A,B,C,E",20,"2,4,14",False
37,1327,1367,1373,1381,"B,C,A,E",54,"40,6,8",False
38,1399,1409,1427,1429,"B,A,C,E",30,"10,18,2",False
39,1433,1447,1451,1453,"A,B,C,E",20,"14,4,2",False
40,1471,1481,1487,1489,"B,A,C,E",18,"10,6,2",False
41,1493,1499,1531,1549,"A,C,B,E",56,"6,32,18",False
42,1553,1579,1583,1597,"A,B,C,E",44,"26,4,14",False
43,1601,1619,1621,1627,"A,C,E,B",26,"18,2,6",False
44,1637,1657,1663,1667,"A,E,B,C",30,"20,6,4",False
45,1693,1733,1747,1787,"E,A,B,C",94,"40,14,40",False
46,1801,1867,1871,1877,"E,B,C,A",76,"66,4,6",False
47,1879,1913,1931,1933,"B,A,C,E",54,"34,18,2",False
48,1949,1979,1987,1993,"A,C,B,E",44,"30,8,6",False
49,1997,2003,2011,2017,"A,C,B,E",20,"6,8,6",False
50,2027,2029,2069,2083,"C,E,A,B",56,"2,40,14",False
51,2087,2089,2129,2131,"C,E,A,B",44,"2,40,2",False
52,2137,2153,2179,2207,"E,A,B,C",70,"16,26,28",False
53,2213,2221,2239,2243,"A,E,B,C",30,"8,18,4",False
54,2251,2267,2269,2273,"B,C,E,A",22,"16,2,4",False
55,2281,2311,2333,2339,"E,B,A,C",58,"30,22,6",False
56,2341,2347,2351,2357,"E,B,C,A",16,"6,4,6",False
57,2371,2389,2393,2399,"B,E,A,C",28,"18,4,6",False
58,2411,2437,2441,2467,"C,E,A,B",56,"26,4,26",False
59,2473,2477,2503,2531,"E,A,B,C",58,"4,26,28",False
60,2539,2543,2549,2557,"B,C,A,E",18,"4,6,8",False
61,2591,2617,2621,2647,"C,E,A,B",56,"26,4,26",False
62,2657,2663,2671,2677,"A,C,B,E",20,"6,8,6",False
63,2683,2687,2689,2693,"B,C,E,A",10,"4,2,4",False
64,2699,2713,2719,2729,"C,E,B,A",30,"14,6,10",False
65,2731,2797,2801,2819,"B,E,A,C",88,"66,4,18",False
66,2833,2837,2843,2851,"E,A,C,B",18,"4,6,8",False
67,2857,2861,2879,2887,"E,A,C,B",30,"4,18,8",False
68,2897,2953,2963,2971,"A,E,C,B",74,"56,10,8",False
69,2999,3019,3037,3041,"C,B,E,A",42,"20,18,4",False
70,3061,3067,3083,3089,"E,B,C,A",28,"6,16,6",False
71,3109,3119,3137,3163,"E,C,A,B",54,"10,18,26",False
72,3167,3169,3187,3209,"C,E,B,A",42,"2,18,22",False
73,3217,3251,3257,3259,"E,C,A,B",42,"34,6,2",False
74,3271,3301,3323,3329,"B,E,C,A",58,"30,22,6",False
75,3343,3371,3373,3389,"B,C,E,A",46,"28,2,16",False
76,3391,3407,3413,3433,"B,C,A,E",42,"16,6,20",False
77,3449,3457,3463,3467,"A,E,B,C",18,"8,6,4",False
78,3469,3499,3527,3533,"E,B,C,A",64,"30,28,6",False
79,3539,3541,3547,3557,"C,E,B,A",18,"2,6,10",False
80,3571,3613,3617,3623,"B,E,A,C",52,"42,4,6",False
81,3631,3659,3673,3677,"B,C,E,A",46,"28,14,4",False
82,3691,3701,3709,3719,"B,A,E,C",28,"10,8,10",False
83,3727,3733,3761,3767,"B,E,A,C",40,"6,28,6",False
84,3769,3803,3821,3823,"E,C,A,B",54,"34,18,2",False
85,3833,3847,3851,3853,"A,B,C,E",20,"14,4,2",False
86,3863,3881,3889,3907,"C,A,E,B",44,"18,8,18",False
87,3911,4003,4013,4021,"C,B,A,E",110,"92,10,8",False
88,4027,4057,4073,4079,"B,E,A,C",52,"30,16,6",False
89,4091,4099,4129,4133,"C,B,E,A",42,"8,30,4",False
90,4139,4153,4157,4159,"C,E,A,B",20,"14,4,2",False
91,4201,4211,4217,4219,"E,C,A,B",18,"10,6,2",False
92,4229,4231,4259,4261,"A,B,C,E",32,"2,28,2",False
93,4271,4289,4297,4327,"C,A,E,B",56,"18,8,30",False
94,4337,4357,4363,4391,"A,E,B,C",54,"20,6,28",False
95,4421,4441,4447,4451,"A,E,B,C",30,"20,6,4",False
96,4457,4463,4483,4513,"A,C,B,E",56,"6,20,30",False
97,4517,4519,4523,4549,"A,B,C,E",32,"2,4,26",False
98,4561,4583,4591,4637,"E,C,B,A",76,"22,8,46",False
99,4639,4643,4649,4657,"B,C,A,E",18,"4,6,8",False
100,4663,4679,4721,4729,"B,C,A,E",66,"16,42,8",False
101,4733,4759,4787,4789,"A,B,C,E",56,"26,28,2",False
102,4793,4799,4801,4831,"A,C,E,B",38,"6,2,30",False
103,4861,4871,4877,4903,"E,C,A,B",42,"10,6,26",False
104,4909,4937,4943,4951,"E,A,C,B",42,"28,6,8",False
105,4957,4967,4973,4987,"E,C,A,B",30,"10,6,14",False
106,4993,4999,5003,5009,"E,B,C,A",16,"6,4,6",False
107,5011,5021,5039,5077,"B,A,C,E",66,"10,18,38",False
108,5081,5087,5101,5107,"A,C,E,B",26,"6,14,6",False
109,5113,5119,5147,5153,"E,B,C,A",40,"6,28,6",False
110,5167,5171,5189,5197,"B,C,A,E",30,"4,18,8",False
111,5209,5227,5231,5237,"E,B,C,A",28,"18,4,6",False
112,5273,5281,5303,5323,"A,E,C,B",50,"8,22,20",False
113,5333,5351,5407,5413,"A,C,B,E",80,"18,56,6",False
114,5417,5443,5449,5471,"A,B,E,C",54,"26,6,22",False
115,5477,5503,5507,5521,"A,B,C,E",44,"26,4,14",False
116,5527,5531,5557,5573,"B,C,E,A",46,"4,26,16",False
117,5581,5647,5651,5657,"E,B,C,A",76,"66,4,6",False
118,5659,5693,5701,5711,"B,A,E,C",52,"34,8,10",False
119,5717,5749,5779,5783,"A,E,B,C",66,"32,30,4",False
120,5791,5807,5813,5821,"B,C,A,E",30,"16,6,8",False
121,5839,5843,5849,5857,"B,C,A,E",18,"4,6,8",False
122,5861,5881,5903,5923,"A,E,C,B",62,"20,22,20",False
123,5939,5953,5981,6007,"C,E,A,B",68,"14,28,26",False
124,6011,6029,6037,6043,"C,A,E,B",32,"18,8,6",False
125,6047,6053,6067,6073,"C,A,B,E",26,"6,14,6",False
126,6079,6089,6121,6131,"B,A,E,C",52,"10,32,10",False
127,6133,6143,6151,6173,"E,C,B,A",40,"10,8,22",False
128,6197,6203,6211,6217,"A,C,B,E",20,"6,8,6",False
129,6221,6229,6247,6263,"A,E,B,C",42,"8,18,16",False
130,6269,6271,6277,6287,"A,B,E,C",18,"2,6,10",False
131,6299,6317,6337,6343,"C,A,E,B",44,"18,20,6",False
132,6353,6359,6361,6367,"A,C,E,B",14,"6,2,6",False
133,6373,6451,6473,6491,"E,B,A,C",118,"78,22,18",False
134,6521,6529,6547,6551,"A,E,B,C",30,"8,18,4",False
135,6553,6563,6569,6571,"E,C,A,B",18,"10,6,2",False
