index,base_p,log_p,abce_cumulative,ceab_cumulative,bias_b
1,5,1.6094379124341003,1,0,1
2,11,2.3978952727983707,1,1,0
3,101,4.61512051684126,2,1,1
4,191,5.25227342804663,2,2,0
5,821,6.710523109452428,3,2,1
6,1481,7.300472814267799,4,2,2
7,1871,7.534228326274089,4,3,1
8,2081,7.640603826393634,5,3,2
9,3251,8.086717920303906,5,4,1
10,3461,8.149312843635345,6,4,2
11,5651,8.639587799629844,6,5,1
12,9431,9.151757414543885,6,6,0
13,13001,9.472781556562168,7,6,1
14,15641,9.657650950674242,8,6,2
15,15731,9.663388566822505,8,7,1
16,16061,9.684149252062896,9,7,2
17,18041,9.800402224452803,10,7,3
18,18911,9.847499042327273,10,8,2
19,19421,9.874110233825451,11,8,3
20,21011,9.95280138908905,11,9,2
21,22271,10.01104066270085,11,10,1
22,25301,10.138599199626192,12,10,2
23,31721,10.364734201103053,13,10,3
24,34841,10.45855013319517,14,10,4
25,43781,10.68695521229612,15,10,5
26,51341,10.846244932225309,16,10,6
27,55331,10.921088609106748,16,11,5
28,62981,11.050588372585487,17,11,6
29,67211,11.115592203591607,17,12,5
30,69491,11.148952526764623,17,13,4
31,72221,11.18748614131548,18,13,5
32,77261,11.254944579444818,19,13,6
33,79691,11.285911934938985,19,14,5
34,81041,11.302710478431823,20,14,6
35,82721,11.32322877864404,21,14,7
36,88811,11.3942657951824,21,15,6
37,97841,11.491098991077424,22,15,7
38,99131,11.504197486739605,22,16,6
39,101111,11.523974202255111,22,17,5
40,109841,11.606789144551904,23,17,6
41,116531,11.665912611011652,23,18,5
42,119291,11.689321165173205,23,19,4
43,122201,11.713422508992204,24,19,5
44,135461,11.81643905499471,25,19,6
45,144161,11.878686009555064,26,19,7
46,157271,11.965725710956322,26,20,6
47,165701,12.017940238399461,27,20,7
48,166841,12.024796542059402,28,20,8
49,171161,12.050359913000248,29,20,9
50,187631,12.142232547105335,29,21,8
51,194861,12.180041762855726,30,21,9
52,195731,12.184496546562352,30,22,8
53,201491,12.213499994358957,30,23,7
54,201821,12.21513644491656,31,23,8
55,217361,12.289314844752141,32,23,9
56,225341,12.325370089446839,33,23,10
57,240041,12.388565021067109,34,23,11
58,243701,12.403697343010705,35,23,12
59,247601,12.419573858556635,36,23,13
60,247991,12.421147734166029,36,24,12
61,257861,12.460175959030682,37,24,13
62,260411,12.470016431127886,37,25,12
63,266681,12.493808466537475,38,25,13
64,268811,12.501763809412871,38,26,12
65,276041,12.528304684391358,39,26,13
66,284741,12.559335274137407,40,26,14
67,285281,12.561229938418922,41,26,15
68,294311,12.592392310349435,41,27,14
69,295871,12.597678827502255,41,28,13
70,299471,12.609772863802759,41,29,12
71,300491,12.613173082425693,41,30,11
72,301991,12.618152494588434,41,31,10
73,326141,12.69508508217847,42,31,11
74,334421,12.720155957263968,43,31,12
75,340931,12.739435389749875,43,32,11
76,346391,12.755323473808643,43,33,10
77,347981,12.759903159564953,44,33,11
78,354251,12.77776098041415,44,34,10
79,358901,12.790801863423264,45,34,11
80,361211,12.797217554103334,45,35,10
81,375251,12.835350414382232,45,36,9
82,388691,12.870539962468833,45,37,8
83,389561,12.872775743070505,46,37,9
84,392261,12.87968271354178,47,37,10
85,394811,12.886162448362033,47,38,9
86,397541,12.893053352411568,48,38,10
87,397751,12.893581460338922,48,39,9
88,402131,12.904533185163617,48,40,8
89,402761,12.906098612894679,49,40,9
90,412031,12.92885386821952,49,41,8
91,419051,12.945747909874282,49,42,7
92,420851,12.950034130780418,49,43,6
93,427241,12.965103535805705,50,43,7
94,442571,13.00035618253648,50,44,6
95,444341,13.004347564657461,51,44,7
96,452531,13.022611548062825,51,45,6
97,463451,13.046455941031718,51,46,5
98,465161,13.050138861202587,52,46,6
99,467471,13.055092593701248,52,47,5
100,470081,13.060660299262867,53,47,6
