index,prime_count_scope,v_abcE,p_anchor,A,B,C,E,p1_sorted,p2_sorted,p3_sorted,p4_sorted,channels_sorted,span,gaps_sorted,canonical_primquadruplet,quat_norm,sqrt_norm,pair_gaps,host_E,host_A,host_B,host_C,verify_dumas_lemma,natural_fill_gaps,natural_fill_gap_free,triple_slot_primes,rotor_host,rotor_d_artagnan,rotor_d_artagnan_canonical_formula,rotor_d_artagnan_matches_canonical_formula,rotor_musketiere,rotor_d1,rotor_d2,rotor_gap_pair,rotor_gap_matches_canonical,host_E_component,host_E_musketiere,host_E_d1,host_E_d2,host_E_gap_pair,host_E_gap_matches_canonical,host_A_component,host_A_musketiere,host_A_d1,host_A_d2,host_A_gap_pair,host_A_gap_matches_canonical,host_B_component,host_B_musketiere,host_B_d1,host_B_d2,host_B_gap_pair,host_B_gap_matches_canonical,host_C_component,host_C_musketiere,host_C_d1,host_C_d2,host_C_gap_pair,host_C_gap_matches_canonical
1,200,"(5, 7, 11, 13)",5,5,7,11,13,5,7,11,13,"A,B,C,E",8,"2,4,2",True,364,19,72,13,5,7,11,True,,True,"5,7,11,7,11,13,5,11,13,5,7,13",E,13,13,True,"(5, 7, 11)",2,4,"(2, 4)",True,13,"(5, 7, 11)",2,4,"(2, 4)",True,5,"(7, 11, 13)",4,2,"(4, 2)",True,7,"(5, 11, 13)",6,2,"(6, 2)",True,11,"(5, 7, 13)",2,6,"(2, 6)",True
2,200,"(17, 19, 23, 37)",17,17,19,23,37,17,19,23,37,"A,B,C,E",20,"2,4,14",False,2548,50,360,37,17,19,23,True,,True,"17,19,23,19,23,37,17,23,37,17,19,37",A,17,17,True,"(19, 23, 37)",4,14,"(4, 14)",False,37,"(17, 19, 23)",2,4,"(2, 4)",True,17,"(19, 23, 37)",4,14,"(4, 14)",False,19,"(17, 23, 37)",6,14,"(6, 14)",False,23,"(17, 19, 37)",2,18,"(2, 18)",False
3,200,"(29, 31, 47, 61)",29,29,31,47,61,29,31,47,61,"A,B,C,E",32,"2,16,14",False,7732,87,1224,61,29,31,47,True,,True,"29,31,47,31,47,61,29,47,61,29,31,61",B,31,31,True,"(29, 47, 61)",18,14,"(18, 14)",False,61,"(29, 31, 47)",2,16,"(2, 16)",False,29,"(31, 47, 61)",16,14,"(16, 14)",False,31,"(29, 47, 61)",18,14,"(18, 14)",False,47,"(29, 31, 61)",2,30,"(2, 30)",False
4,200,"(41, 43, 59, 73)",41,41,43,59,73,41,43,59,73,"A,B,C,E",32,"2,16,14",False,12340,111,1224,73,41,43,59,True,,True,"41,43,59,43,59,73,41,59,73,41,43,73",C,59,47,False,"(41, 43, 73)",2,30,"(2, 30)",False,73,"(41, 43, 59)",2,16,"(2, 16)",False,41,"(43, 59, 73)",16,14,"(16, 14)",False,43,"(41, 59, 73)",18,14,"(18, 14)",False,59,"(41, 43, 73)",2,30,"(2, 30)",False
5,200,"(53, 67, 71, 97)",53,53,67,71,97,53,67,71,97,"A,B,C,E",44,"14,4,26",False,21748,147,1224,97,53,67,71,True,,True,"53,67,71,67,71,97,53,71,97,53,67,97",E,97,61,False,"(53, 67, 71)",14,4,"(14, 4)",False,97,"(53, 67, 71)",14,4,"(14, 4)",False,53,"(67, 71, 97)",4,26,"(4, 26)",False,67,"(53, 71, 97)",18,26,"(18, 26)",False,71,"(53, 67, 97)",14,30,"(14, 30)",False
6,200,"(89, 79, 83, 109)",89,89,79,83,109,79,83,89,109,"B,C,A,E",30,"4,6,20",False,32932,181,936,109,89,79,83,True,,True,"79,83,89,79,83,109,83,89,109,79,89,109",A,89,89,True,"(79, 83, 109)",4,26,"(4, 26)",False,109,"(79, 83, 89)",4,6,"(4, 6)",False,89,"(79, 83, 109)",4,26,"(4, 26)",False,79,"(83, 89, 109)",6,20,"(6, 20)",False,83,"(79, 89, 109)",10,20,"(10, 20)",False
7,200,"(101, 103, 107, 157)",101,101,103,107,157,101,103,107,157,"A,B,C,E",56,"2,4,50",False,56908,238,2952,157,101,103,107,True,,True,"101,103,107,103,107,157,101,107,157,101,103,157",B,103,103,True,"(101, 107, 157)",6,50,"(6, 50)",False,157,"(101, 103, 107)",2,4,"(2, 4)",True,101,"(103, 107, 157)",4,50,"(4, 50)",False,103,"(101, 107, 157)",6,50,"(6, 50)",False,107,"(101, 103, 157)",2,54,"(2, 54)",False
8,200,"(113, 127, 131, 181)",113,113,127,131,181,113,127,131,181,"A,B,C,E",68,"14,4,50",False,78820,280,3240,181,113,127,131,True,,True,"113,127,131,127,131,181,113,131,181,113,127,181",C,131,119,False,"(113, 127, 181)",14,54,"(14, 54)",False,181,"(113, 127, 131)",14,4,"(14, 4)",False,113,"(127, 131, 181)",4,50,"(4, 50)",False,127,"(113, 131, 181)",18,50,"(18, 50)",False,131,"(113, 127, 181)",14,54,"(14, 54)",False
9,200,"(137, 139, 167, 193)",137,137,139,167,193,137,139,167,193,"A,B,C,E",56,"2,28,26",False,103228,321,3816,193,137,139,167,True,,True,"137,139,167,139,167,193,137,167,193,137,139,193",E,193,145,False,"(137, 139, 167)",2,28,"(2, 28)",False,193,"(137, 139, 167)",2,28,"(2, 28)",False,137,"(139, 167, 193)",28,26,"(28, 26)",False,139,"(137, 167, 193)",30,26,"(30, 26)",False,167,"(137, 139, 193)",2,54,"(2, 54)",False
10,200,"(149, 151, 179, 229)",149,149,151,179,229,149,151,179,229,"A,B,C,E",80,"2,28,50",False,129484,359,6984,229,149,151,179,True,,True,"149,151,179,151,179,229,149,179,229,149,151,229",A,149,149,True,"(151, 179, 229)",28,50,"(28, 50)",False,229,"(149, 151, 179)",2,28,"(2, 28)",False,149,"(151, 179, 229)",28,50,"(28, 50)",False,151,"(149, 179, 229)",30,50,"(30, 50)",False,179,"(149, 151, 229)",2,78,"(2, 78)",False
