interpretation,prime,mod12,eabc_channel,detail
a_not_in_canonical_quadruplet,2,2,,
a_not_in_canonical_quadruplet,3,3,,
a_not_in_canonical_quadruplet,23,11,C,
a_not_in_canonical_quadruplet,29,5,A,
a_not_in_canonical_quadruplet,31,7,B,
a_not_in_canonical_quadruplet,37,1,E,
a_not_in_canonical_quadruplet,41,5,A,
a_not_in_canonical_quadruplet,43,7,B,
a_not_in_canonical_quadruplet,47,11,C,
a_not_in_canonical_quadruplet,53,5,A,
a_not_in_canonical_quadruplet,59,11,C,
a_not_in_canonical_quadruplet,61,1,E,
a_not_in_canonical_quadruplet,67,7,B,
a_not_in_canonical_quadruplet,71,11,C,
a_not_in_canonical_quadruplet,73,1,E,
a_not_in_canonical_quadruplet,79,7,B,
a_not_in_canonical_quadruplet,83,11,C,
a_not_in_canonical_quadruplet,89,5,A,
a_not_in_canonical_quadruplet,97,1,E,
a_not_in_canonical_quadruplet,113,5,A,
a_not_in_canonical_quadruplet,127,7,B,
a_not_in_canonical_quadruplet,131,11,C,
a_not_in_canonical_quadruplet,137,5,A,
a_not_in_canonical_quadruplet,139,7,B,
a_not_in_canonical_quadruplet,149,5,A,
a_not_in_canonical_quadruplet,151,7,B,
a_not_in_canonical_quadruplet,157,1,E,
a_not_in_canonical_quadruplet,163,7,B,
a_not_in_canonical_quadruplet,167,11,C,
a_not_in_canonical_quadruplet,173,5,A,
a_not_in_canonical_quadruplet,179,11,C,
a_not_in_canonical_quadruplet,181,1,E,
a_not_in_canonical_quadruplet,211,7,B,
a_not_in_canonical_quadruplet,223,7,B,
a_not_in_canonical_quadruplet,227,11,C,
a_not_in_canonical_quadruplet,229,1,E,
a_not_in_canonical_quadruplet,233,5,A,
a_not_in_canonical_quadruplet,239,11,C,
a_not_in_canonical_quadruplet,241,1,E,
a_not_in_canonical_quadruplet,251,11,C,
a_not_in_canonical_quadruplet,257,5,A,
a_not_in_canonical_quadruplet,263,11,C,
a_not_in_canonical_quadruplet,269,5,A,
a_not_in_canonical_quadruplet,271,7,B,
a_not_in_canonical_quadruplet,277,1,E,
a_not_in_canonical_quadruplet,281,5,A,
a_not_in_canonical_quadruplet,283,7,B,
a_not_in_canonical_quadruplet,293,5,A,
a_not_in_canonical_quadruplet,307,7,B,
a_not_in_canonical_quadruplet,311,11,C,
a_not_in_canonical_quadruplet,313,1,E,
a_not_in_canonical_quadruplet,317,5,A,
a_not_in_canonical_quadruplet,331,7,B,
a_not_in_canonical_quadruplet,337,1,E,
a_not_in_canonical_quadruplet,347,11,C,
a_not_in_canonical_quadruplet,349,1,E,
a_not_in_canonical_quadruplet,353,5,A,
a_not_in_canonical_quadruplet,359,11,C,
a_not_in_canonical_quadruplet,367,7,B,
a_not_in_canonical_quadruplet,373,1,E,
a_not_in_canonical_quadruplet,379,7,B,
a_not_in_canonical_quadruplet,383,11,C,
a_not_in_canonical_quadruplet,389,5,A,
a_not_in_canonical_quadruplet,397,1,E,
a_not_in_canonical_quadruplet,401,5,A,
a_not_in_canonical_quadruplet,409,1,E,
a_not_in_canonical_quadruplet,419,11,C,
a_not_in_canonical_quadruplet,421,1,E,
a_not_in_canonical_quadruplet,431,11,C,
a_not_in_canonical_quadruplet,433,1,E,
a_not_in_canonical_quadruplet,439,7,B,
a_not_in_canonical_quadruplet,443,11,C,
a_not_in_canonical_quadruplet,449,5,A,
a_not_in_canonical_quadruplet,457,1,E,
a_not_in_canonical_quadruplet,461,5,A,
a_not_in_canonical_quadruplet,463,7,B,
a_not_in_canonical_quadruplet,467,11,C,
a_not_in_canonical_quadruplet,479,11,C,
a_not_in_canonical_quadruplet,487,7,B,
a_not_in_canonical_quadruplet,491,11,C,
a_not_in_canonical_quadruplet,499,7,B,
a_not_in_canonical_quadruplet,503,11,C,
a_not_in_canonical_quadruplet,509,5,A,
a_not_in_canonical_quadruplet,521,5,A,
a_not_in_canonical_quadruplet,523,7,B,
a_not_in_canonical_quadruplet,541,1,E,
a_not_in_canonical_quadruplet,547,7,B,
a_not_in_canonical_quadruplet,557,5,A,
a_not_in_canonical_quadruplet,563,11,C,
a_not_in_canonical_quadruplet,569,5,A,
a_not_in_canonical_quadruplet,571,7,B,
a_not_in_canonical_quadruplet,577,1,E,
a_not_in_canonical_quadruplet,587,11,C,
a_not_in_canonical_quadruplet,593,5,A,
a_not_in_canonical_quadruplet,599,11,C,
a_not_in_canonical_quadruplet,601,1,E,
a_not_in_canonical_quadruplet,607,7,B,
a_not_in_canonical_quadruplet,613,1,E,
a_not_in_canonical_quadruplet,617,5,A,
a_not_in_canonical_quadruplet,619,7,B,
a_not_in_canonical_quadruplet,631,7,B,
a_not_in_canonical_quadruplet,641,5,A,
a_not_in_canonical_quadruplet,643,7,B,
a_not_in_canonical_quadruplet,647,11,C,
a_not_in_canonical_quadruplet,653,5,A,
a_not_in_canonical_quadruplet,659,11,C,
a_not_in_canonical_quadruplet,661,1,E,
a_not_in_canonical_quadruplet,673,1,E,
a_not_in_canonical_quadruplet,677,5,A,
a_not_in_canonical_quadruplet,683,11,C,
a_not_in_canonical_quadruplet,691,7,B,
a_not_in_canonical_quadruplet,701,5,A,
a_not_in_canonical_quadruplet,709,1,E,
a_not_in_canonical_quadruplet,719,11,C,
a_not_in_canonical_quadruplet,727,7,B,
