base_p1,model_type,p1,p2,p3,p4,vortex_winding,trivial_winding,holonomy_phase_total,phase_closure_ok,encircles_defect,pop_threshold_steps,ceab_loop_length,ceab_phase_closure_ok,gap_law_ok,canonical_vortex_winding,topological_contrast_vs_canonical,defect_core_valid,tag
5,canonical,5,7,11,13,1,0,0,1,1,4,2,1,1,1,0,1,[B]
5,ceab_shift,11,13,5,7,0,0,0,0,0,4,2,1,0,1,1,1,[B]
5,channel_shuffle,11,7,5,13,0,0,0,0,0,4,2,1,0,1,1,1,[B]
11,canonical,11,13,17,19,1,0,0,1,1,4,2,1,1,1,0,1,[B]
11,ceab_shift,17,19,11,13,0,0,0,0,0,4,2,1,0,1,1,1,[B]
11,channel_shuffle,17,13,11,19,0,0,0,0,0,4,2,1,0,1,1,1,[B]
101,canonical,101,103,107,109,1,0,0,1,1,4,2,1,1,1,0,1,[B]
101,ceab_shift,107,109,101,103,0,0,0,0,0,4,2,1,0,1,1,1,[B]
101,channel_shuffle,107,103,101,109,0,0,0,0,0,4,2,1,0,1,1,1,[B]
191,canonical,191,193,197,199,1,0,0,1,1,4,2,1,1,1,0,1,[B]
191,ceab_shift,197,199,191,193,0,0,0,0,0,4,2,1,0,1,1,1,[B]
191,channel_shuffle,197,193,191,199,0,0,0,0,0,4,2,1,0,1,1,1,[B]
821,canonical,821,823,827,829,1,0,0,1,1,4,2,1,1,1,0,1,[B]
821,ceab_shift,827,829,821,823,0,0,0,0,0,4,2,1,0,1,1,1,[B]
821,channel_shuffle,827,823,821,829,0,0,0,0,0,4,2,1,0,1,1,1,[B]
1481,canonical,1481,1483,1487,1489,1,0,0,1,1,4,2,1,1,1,0,1,[B]
1481,ceab_shift,1487,1489,1481,1483,0,0,0,0,0,4,2,1,0,1,1,1,[B]
1481,channel_shuffle,1487,1483,1481,1489,0,0,0,0,0,4,2,1,0,1,1,1,[B]
1871,canonical,1871,1873,1877,1879,1,0,0,1,1,4,2,1,1,1,0,1,[B]
1871,ceab_shift,1877,1879,1871,1873,0,0,0,0,0,4,2,1,0,1,1,1,[B]
1871,channel_shuffle,1877,1873,1871,1879,0,0,0,0,0,4,2,1,0,1,1,1,[B]
2081,canonical,2081,2083,2087,2089,1,0,0,1,1,4,2,1,1,1,0,1,[B]
2081,ceab_shift,2087,2089,2081,2083,0,0,0,0,0,4,2,1,0,1,1,1,[B]
2081,channel_shuffle,2087,2083,2081,2089,0,0,0,0,0,4,2,1,0,1,1,1,[B]
3251,canonical,3251,3253,3257,3259,1,0,0,1,1,4,2,1,1,1,0,1,[B]
3251,ceab_shift,3257,3259,3251,3253,0,0,0,0,0,4,2,1,0,1,1,1,[B]
3251,channel_shuffle,3257,3253,3251,3259,0,0,0,0,0,4,2,1,0,1,1,1,[B]
3461,canonical,3461,3463,3467,3469,1,0,0,1,1,4,2,1,1,1,0,1,[B]
3461,ceab_shift,3467,3469,3461,3463,0,0,0,0,0,4,2,1,0,1,1,1,[B]
3461,channel_shuffle,3467,3463,3461,3469,0,0,0,0,0,4,2,1,0,1,1,1,[B]
5651,canonical,5651,5653,5657,5659,1,0,0,1,1,4,2,1,1,1,0,1,[B]
5651,ceab_shift,5657,5659,5651,5653,0,0,0,0,0,4,2,1,0,1,1,1,[B]
5651,channel_shuffle,5657,5653,5651,5659,0,0,0,0,0,4,2,1,0,1,1,1,[B]
9431,canonical,9431,9433,9437,9439,1,0,0,1,1,4,2,1,1,1,0,1,[B]
9431,ceab_shift,9437,9439,9431,9433,0,0,0,0,0,4,2,1,0,1,1,1,[B]
9431,channel_shuffle,9437,9433,9431,9439,0,0,0,0,0,4,2,1,0,1,1,1,[B]
13001,canonical,13001,13003,13007,13009,1,0,0,1,1,4,2,1,1,1,0,1,[B]
