base,orbit,invariant_name,is_invariant,orbit_values
"[5, 7, 11, 13]","[[5, 7, 11, 13], [11, 13, 5, 7]]",sum,True,"[36, 36]"
"[5, 7, 11, 13]","[[5, 7, 11, 13], [11, 13, 5, 7]]",multiset,True,"[[5, 7, 11, 13], [5, 7, 11, 13]]"
"[5, 7, 11, 13]","[[5, 7, 11, 13], [11, 13, 5, 7]]",pair_gaps,True,"[72, 72]"
"[5, 7, 11, 13]","[[5, 7, 11, 13], [11, 13, 5, 7]]",quat_norm,True,"[364, 364]"
"[5, 7, 11, 13]","[[5, 7, 11, 13], [11, 13, 5, 7]]",quat_reduced_norm,True,"[364, 364]"
"[11, 13, 17, 19]","[[11, 13, 17, 19], [17, 19, 11, 13]]",sum,True,"[60, 60]"
"[11, 13, 17, 19]","[[11, 13, 17, 19], [17, 19, 11, 13]]",multiset,True,"[[11, 13, 17, 19], [11, 13, 17, 19]]"
"[11, 13, 17, 19]","[[11, 13, 17, 19], [17, 19, 11, 13]]",pair_gaps,True,"[72, 72]"
"[11, 13, 17, 19]","[[11, 13, 17, 19], [17, 19, 11, 13]]",quat_norm,True,"[940, 940]"
"[11, 13, 17, 19]","[[11, 13, 17, 19], [17, 19, 11, 13]]",quat_reduced_norm,True,"[940, 940]"
"[101, 103, 107, 109]","[[101, 103, 107, 109], [107, 109, 101, 103]]",sum,True,"[420, 420]"
"[101, 103, 107, 109]","[[101, 103, 107, 109], [107, 109, 101, 103]]",multiset,True,"[[101, 103, 107, 109], [101, 103, 107, 109]]"
"[101, 103, 107, 109]","[[101, 103, 107, 109], [107, 109, 101, 103]]",pair_gaps,True,"[72, 72]"
"[101, 103, 107, 109]","[[101, 103, 107, 109], [107, 109, 101, 103]]",quat_norm,True,"[44140, 44140]"
"[101, 103, 107, 109]","[[101, 103, 107, 109], [107, 109, 101, 103]]",quat_reduced_norm,True,"[44140, 44140]"
"[191, 193, 197, 199]","[[191, 193, 197, 199], [197, 199, 191, 193]]",sum,True,"[780, 780]"
"[191, 193, 197, 199]","[[191, 193, 197, 199], [197, 199, 191, 193]]",multiset,True,"[[191, 193, 197, 199], [191, 193, 197, 199]]"
"[191, 193, 197, 199]","[[191, 193, 197, 199], [197, 199, 191, 193]]",pair_gaps,True,"[72, 72]"
"[191, 193, 197, 199]","[[191, 193, 197, 199], [197, 199, 191, 193]]",quat_norm,True,"[152140, 152140]"
"[191, 193, 197, 199]","[[191, 193, 197, 199], [197, 199, 191, 193]]",quat_reduced_norm,True,"[152140, 152140]"
