index,p,A,B,C,E,norm_height,sqrt_norm,pair_gaps,host_E,host_A,host_B,host_C,triple_slot_primes
1,5,5,7,11,13,364,19,72,13,5,7,11,"5,7,11,7,11,13,5,11,13,5,7,13"
2,11,11,13,17,19,940,30,72,19,11,13,17,"11,13,17,13,17,19,11,17,19,11,13,19"
3,101,101,103,107,109,44140,210,72,109,101,103,107,"101,103,107,103,107,109,101,107,109,101,103,109"
4,191,191,193,197,199,152140,390,72,199,191,193,197,"191,193,197,193,197,199,191,197,199,191,193,199"
5,821,821,823,827,829,2722540,1650,72,829,821,823,827,"821,823,827,823,827,829,821,827,829,821,823,829"
6,1481,1481,1483,1487,1489,8820940,2970,72,1489,1481,1483,1487,"1481,1483,1487,1483,1487,1489,1481,1487,1489,1481,1483,1489"
7,1871,1871,1873,1877,1879,14062540,3750,72,1879,1871,1873,1877,"1871,1873,1877,1873,1877,1879,1871,1877,1879,1871,1873,1879"
8,2081,2081,2083,2087,2089,17388940,4170,72,2089,2081,2083,2087,"2081,2083,2087,2083,2087,2089,2081,2087,2089,2081,2083,2089"
9,3251,3251,3253,3257,3259,42380140,6510,72,3259,3251,3253,3257,"3251,3253,3257,3253,3257,3259,3251,3257,3259,3251,3253,3259"
10,3461,3461,3463,3467,3469,48024940,6930,72,3469,3461,3463,3467,"3461,3463,3467,3463,3467,3469,3461,3467,3469,3461,3463,3469"
11,5651,5651,5653,5657,5659,127916140,11310,72,5659,5651,5653,5657,"5651,5653,5657,5653,5657,5659,5651,5657,5659,5651,5653,5659"
12,9431,9431,9433,9437,9439,356076940,18870,72,9439,9431,9433,9437,"9431,9433,9437,9433,9437,9439,9431,9437,9439,9431,9433,9439"
13,13001,13001,13003,13007,13009,676520140,26010,72,13009,13001,13003,13007,"13001,13003,13007,13003,13007,13009,13001,13007,13009,13001,13003,13009"
14,15641,15641,15643,15647,15649,979064140,31290,72,15649,15641,15643,15647,"15641,15643,15647,15643,15647,15649,15641,15647,15649,15641,15643,15649"
15,15731,15731,15733,15737,15739,990360940,31470,72,15739,15731,15733,15737,"15731,15733,15737,15733,15737,15739,15731,15737,15739,15731,15733,15739"
16,16061,16061,16063,16067,16069,1032336940,32130,72,16069,16061,16063,16067,"16061,16063,16067,16063,16067,16069,16061,16067,16069,16061,16063,16069"
17,18041,18041,18043,18047,18049,1302488140,36090,72,18049,18041,18043,18047,"18041,18043,18047,18043,18047,18049,18041,18047,18049,18041,18043,18049"
18,18911,18911,18913,18917,18919,1431108940,37830,72,18919,18911,18913,18917,"18911,18913,18917,18913,18917,18919,18911,18917,18919,18911,18913,18919"
19,19421,19421,19423,19427,19429,1509322540,38850,72,19429,19421,19423,19427,"19421,19423,19427,19423,19427,19429,19421,19427,19429,19421,19423,19429"
20,21011,21011,21013,21017,21019,1766520940,42030,72,21019,21011,21013,21017,"21011,21013,21017,21013,21017,21019,21011,21017,21019,21011,21013,21019"
21,22271,22271,22273,22277,22279,1984702540,44550,72,22279,22271,22273,22277,"22271,22273,22277,22273,22277,22279,22271,22277,22279,22271,22273,22279"
22,25301,25301,25303,25307,25309,2561372140,50610,72,25309,25301,25303,25307,"25301,25303,25307,25303,25307,25309,25301,25307,25309,25301,25303,25309"
23,31721,31721,31723,31727,31729,4025902540,63450,72,31729,31721,31723,31727,"31721,31723,31727,31723,31727,31729,31721,31727,31729,31721,31723,31729"
24,34841,34841,34843,34847,34849,4856696140,69690,72,34849,34841,34843,34847,"34841,34843,34847,34843,34847,34849,34841,34847,34849,34841,34843,34849"
25,43781,43781,43783,43787,43789,7668504940,87570,72,43789,43781,43783,43787,"43781,43783,43787,43783,43787,43789,43781,43787,43789,43781,43783,43789"
26,51341,51341,51343,51347,51349,10545236140,102690,72,51349,51341,51343,51347,"51341,51343,51347,51343,51347,51349,51341,51347,51349,51341,51343,51349"
27,55331,55331,55333,55337,55339,12247848940,110670,72,55339,55331,55333,55337,"55331,55333,55337,55333,55337,55339,55331,55337,55339,55331,55333,55339"
28,62981,62981,62983,62987,62989,15868440940,125970,72,62989,62981,62983,62987,"62981,62983,62987,62983,62987,62989,62981,62987,62989,62981,62983,62989"
29,67211,67211,67213,67217,67219,18071424940,134430,72,67219,67211,67213,67217,"67211,67213,67217,67213,67217,67219,67211,67217,67219,67211,67213,67219"
30,69491,69491,69493,69497,69499,19318220140,138990,72,69499,69491,69493,69497,"69491,69493,69497,69493,69497,69499,69491,69497,69499,69491,69493,69499"
31,72221,72221,72223,72227,72229,20865802540,144450,72,72229,72221,72223,72227,"72221,72223,72227,72223,72227,72229,72221,72227,72229,72221,72223,72229"
32,77261,77261,77263,77267,77269,23879520940,154530,72,77269,77261,77263,77267,"77261,77263,77267,77263,77267,77269,77261,77267,77269,77261,77263,77269"
33,79691,79691,79693,79697,79699,25405172140,159390,72,79699,79691,79693,79697,"79691,79693,79697,79693,79697,79699,79691,79697,79699,79691,79693,79699"
34,81041,81041,81043,81047,81049,26273168140,162090,72,81049,81041,81043,81047,"81041,81043,81047,81043,81047,81049,81041,81047,81049,81041,81043,81049"
35,82721,82721,82723,82727,82729,27373702540,165450,72,82729,82721,82723,82727,"82721,82723,82727,82723,82727,82729,82721,82727,82729,82721,82723,82729"
36,88811,88811,88813,88817,88819,31552416940,177630,72,88819,88811,88813,88817,"88811,88813,88817,88813,88817,88819,88811,88817,88819,88811,88813,88819"
37,97841,97841,97843,97847,97849,38294576140,195690,72,97849,97841,97843,97847,"97841,97843,97847,97843,97847,97849,97841,97847,97849,97841,97843,97849"
38,99131,99131,99133,99137,99139,39310992940,198270,72,99139,99131,99133,99137,"99131,99133,99137,99133,99137,99139,99131,99137,99139,99131,99133,99139"
39,101111,101111,101113,101117,101119,40896972940,202230,72,101119,101111,101113,101117,"101111,101113,101117,101113,101117,101119,101111,101117,101119,101111,101113,101119"
