rank,n,E,A,B,C,M,eabc_channel,mod12,partition,quat_a,quat_b,quat_c,quat_e,quat_norm
1,5,0,1,0,0,1,A,5,"1,0,0,0",5,0,0,0,25
2,7,0,0,1,0,1,B,7,"1,0,0,0",0,7,0,0,49
3,11,0,0,0,1,1,C,11,"1,0,0,0",0,0,11,0,121
4,13,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,13,169
5,17,0,1,0,0,1,A,5,"1,0,0,0",17,0,0,0,289
6,19,0,0,1,0,1,B,7,"1,0,0,0",0,19,0,0,361
7,23,0,0,0,1,1,C,11,"1,0,0,0",0,0,23,0,529
8,29,0,1,0,0,1,A,5,"1,0,0,0",29,0,0,0,841
9,31,0,0,1,0,1,B,7,"1,0,0,0",0,31,0,0,961
10,37,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,37,1369
11,41,0,1,0,0,1,A,5,"1,0,0,0",41,0,0,0,1681
12,43,0,0,1,0,1,B,7,"1,0,0,0",0,43,0,0,1849
13,47,0,0,0,1,1,C,11,"1,0,0,0",0,0,47,0,2209
14,53,0,1,0,0,1,A,5,"1,0,0,0",53,0,0,0,2809
15,59,0,0,0,1,1,C,11,"1,0,0,0",0,0,59,0,3481
16,61,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,61,3721
17,67,0,0,1,0,1,B,7,"1,0,0,0",0,67,0,0,4489
18,71,0,0,0,1,1,C,11,"1,0,0,0",0,0,71,0,5041
19,73,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,73,5329
20,79,0,0,1,0,1,B,7,"1,0,0,0",0,79,0,0,6241
21,83,0,0,0,1,1,C,11,"1,0,0,0",0,0,83,0,6889
22,89,0,1,0,0,1,A,5,"1,0,0,0",89,0,0,0,7921
23,97,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,97,9409
24,101,0,1,0,0,1,A,5,"1,0,0,0",101,0,0,0,10201
25,103,0,0,1,0,1,B,7,"1,0,0,0",0,103,0,0,10609
26,107,0,0,0,1,1,C,11,"1,0,0,0",0,0,107,0,11449
27,109,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,109,11881
28,113,0,1,0,0,1,A,5,"1,0,0,0",113,0,0,0,12769
29,127,0,0,1,0,1,B,7,"1,0,0,0",0,127,0,0,16129
30,131,0,0,0,1,1,C,11,"1,0,0,0",0,0,131,0,17161
31,137,0,1,0,0,1,A,5,"1,0,0,0",137,0,0,0,18769
32,139,0,0,1,0,1,B,7,"1,0,0,0",0,139,0,0,19321
33,149,0,1,0,0,1,A,5,"1,0,0,0",149,0,0,0,22201
34,151,0,0,1,0,1,B,7,"1,0,0,0",0,151,0,0,22801
35,157,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,157,24649
