n,shell,label,x,y,z
1,0,E,1.0,0.0,0.0
1,1,A,0.0,1.0,0.0
1,2,B,0.0,0.0,1.0
1,3,C,-1.0,0.0,0.0
2,0,EE,0.0,0.0,0.0
2,1,EA,0.0,0.381966,0.0
2,2,EB,0.0,0.763932,0.0
2,3,EC,0.0,1.145898,0.0
2,4,AE,0.381966,0.0,0.0
2,5,AA,0.381966,0.381966,0.0
2,6,AB,0.381966,0.763932,0.0
2,7,AC,0.381966,1.145898,0.0
2,8,BE,0.763932,0.0,0.0
2,9,BA,0.763932,0.381966,0.0
2,10,BB,0.763932,0.763932,0.0
2,11,BC,0.763932,1.145898,0.0
2,12,CE,1.145898,0.0,0.0
2,13,CA,1.145898,0.381966,0.0
2,14,CB,1.145898,0.763932,0.0
2,15,CC,1.145898,1.145898,0.0
3,0,EEE,0.0,0.0,0.0
3,1,EEA,0.0,0.0,0.236068
3,2,EEB,0.0,0.0,0.472136
3,3,EEC,0.0,0.0,0.708204
3,4,EAE,0.0,0.236068,0.0
3,5,EAA,0.0,0.236068,0.236068
3,6,EAB,0.0,0.236068,0.472136
3,7,EAC,0.0,0.236068,0.708204
3,8,EBE,0.0,0.472136,0.0
3,9,EBA,0.0,0.472136,0.236068
3,10,EBB,0.0,0.472136,0.472136
3,11,EBC,0.0,0.472136,0.708204
3,12,ECE,0.0,0.708204,0.0
3,13,ECA,0.0,0.708204,0.236068
3,14,ECB,0.0,0.708204,0.472136
3,15,ECC,0.0,0.708204,0.708204
3,16,AEE,0.236068,0.0,0.0
3,17,AEA,0.236068,0.0,0.236068
3,18,AEB,0.236068,0.0,0.472136
3,19,AEC,0.236068,0.0,0.708204
3,20,AAE,0.236068,0.236068,0.0
3,21,AAA,0.236068,0.236068,0.236068
3,22,AAB,0.236068,0.236068,0.472136
3,23,AAC,0.236068,0.236068,0.708204
3,24,ABE,0.236068,0.472136,0.0
3,25,ABA,0.236068,0.472136,0.236068
3,26,ABB,0.236068,0.472136,0.472136
3,27,ABC,0.236068,0.472136,0.708204
3,28,ACE,0.236068,0.708204,0.0
3,29,ACA,0.236068,0.708204,0.236068
3,30,ACB,0.236068,0.708204,0.472136
3,31,ACC,0.236068,0.708204,0.708204
3,32,BEE,0.472136,0.0,0.0
3,33,BEA,0.472136,0.0,0.236068
3,34,BEB,0.472136,0.0,0.472136
3,35,BEC,0.472136,0.0,0.708204
3,36,BAE,0.472136,0.236068,0.0
3,37,BAA,0.472136,0.236068,0.236068
3,38,BAB,0.472136,0.236068,0.472136
3,39,BAC,0.472136,0.236068,0.708204
3,40,BBE,0.472136,0.472136,0.0
3,41,BBA,0.472136,0.472136,0.236068
3,42,BBB,0.472136,0.472136,0.472136
3,43,BBC,0.472136,0.472136,0.708204
3,44,BCE,0.472136,0.708204,0.0
3,45,BCA,0.472136,0.708204,0.236068
3,46,BCB,0.472136,0.708204,0.472136
3,47,BCC,0.472136,0.708204,0.708204
3,48,CEE,0.708204,0.0,0.0
3,49,CEA,0.708204,0.0,0.236068
3,50,CEB,0.708204,0.0,0.472136
3,51,CEC,0.708204,0.0,0.708204
3,52,CAE,0.708204,0.236068,0.0
3,53,CAA,0.708204,0.236068,0.236068
3,54,CAB,0.708204,0.236068,0.472136
3,55,CAC,0.708204,0.236068,0.708204
3,56,CBE,0.708204,0.472136,0.0
3,57,CBA,0.708204,0.472136,0.236068
3,58,CBB,0.708204,0.472136,0.472136
3,59,CBC,0.708204,0.472136,0.708204
3,60,CCE,0.708204,0.708204,0.0
3,61,CCA,0.708204,0.708204,0.236068
3,62,CCB,0.708204,0.708204,0.472136
3,63,CCC,0.708204,0.708204,0.708204
