p,p_plus_2,p_plus_6,p_plus_8,vortex_winding,trivial_winding,phase_closure_ok,ceab_closure_ok,encircles_defect,pop_threshold_steps,rotor_steps,rotor_gap_cycle,status
5,7,11,13,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
11,13,17,19,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
101,103,107,109,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
191,193,197,199,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
821,823,827,829,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
1481,1483,1487,1489,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
1871,1873,1877,1879,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
2081,2083,2087,2089,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
3251,3253,3257,3259,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
3461,3463,3467,3469,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
5651,5653,5657,5659,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
9431,9433,9437,9439,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
13001,13003,13007,13009,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
15641,15643,15647,15649,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
15731,15733,15737,15739,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
16061,16063,16067,16069,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
18041,18043,18047,18049,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
18911,18913,18917,18919,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
19421,19423,19427,19429,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
21011,21013,21017,21019,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
22271,22273,22277,22279,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
25301,25303,25307,25309,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
31721,31723,31727,31729,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
34841,34843,34847,34849,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
43781,43783,43787,43789,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
51341,51343,51347,51349,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
55331,55333,55337,55339,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
62981,62983,62987,62989,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
67211,67213,67217,67219,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
69491,69493,69497,69499,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
72221,72223,72227,72229,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
77261,77263,77267,77269,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
79691,79693,79697,79699,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
81041,81043,81047,81049,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
82721,82723,82727,82729,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
88811,88813,88817,88819,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
97841,97843,97847,97849,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
99131,99133,99137,99139,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
101111,101113,101117,101119,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
109841,109843,109847,109849,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
116531,116533,116537,116539,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
119291,119293,119297,119299,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
122201,122203,122207,122209,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
135461,135463,135467,135469,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
144161,144163,144167,144169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
157271,157273,157277,157279,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
165701,165703,165707,165709,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
166841,166843,166847,166849,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
171161,171163,171167,171169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
187631,187633,187637,187639,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
194861,194863,194867,194869,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
195731,195733,195737,195739,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
201491,201493,201497,201499,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
201821,201823,201827,201829,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
217361,217363,217367,217369,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
225341,225343,225347,225349,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
240041,240043,240047,240049,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
243701,243703,243707,243709,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
247601,247603,247607,247609,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
247991,247993,247997,247999,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
257861,257863,257867,257869,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
260411,260413,260417,260419,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
266681,266683,266687,266689,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
268811,268813,268817,268819,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
276041,276043,276047,276049,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
284741,284743,284747,284749,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
285281,285283,285287,285289,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
294311,294313,294317,294319,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
295871,295873,295877,295879,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
299471,299473,299477,299479,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
300491,300493,300497,300499,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
301991,301993,301997,301999,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
326141,326143,326147,326149,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
334421,334423,334427,334429,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
340931,340933,340937,340939,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
346391,346393,346397,346399,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
347981,347983,347987,347989,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
354251,354253,354257,354259,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
358901,358903,358907,358909,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
361211,361213,361217,361219,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
375251,375253,375257,375259,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
388691,388693,388697,388699,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
389561,389563,389567,389569,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
392261,392263,392267,392269,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
394811,394813,394817,394819,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
397541,397543,397547,397549,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
397751,397753,397757,397759,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
402131,402133,402137,402139,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
402761,402763,402767,402769,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
412031,412033,412037,412039,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
