n,hit,time,location,orbit_min,profile_steps,geom2_distance,threshold,max_steps
5,True,1,1,1,64,0.734375,2,10000
15,True,4,5,1,64,0.671875,7,10000
105841,True,2,3721,1,64,0.476562,52920,10000
5,True,1,1,1,64,0.734375,2,10000
61,True,1,23,1,64,0.671875,30,10000
7,True,5,1,1,64,0.687500,3,10000
135,True,4,43,1,64,0.609375,67,10000
4367,True,4,691,1,64,0.140625,2183,10000
667099,True,5,79153,1,64,0.414062,333549,10000
1347,True,2,379,1,64,0.531250,673,10000
17,True,2,5,1,64,0.718750,8,10000
5,True,1,1,1,64,0.734375,2,10000
31,True,38,5,1,64,0.281250,15,10000
7,True,5,1,1,64,0.687500,3,10000
9,True,6,1,1,64,0.687500,4,10000
4835,True,2,85,1,64,0.730469,2417,10000
71,True,33,23,1,64,0.312500,35,10000
69,True,1,13,1,64,0.703125,34,10000
315593,True,4,6241,1,64,0.550781,157796,10000
5359,True,22,2449,1,64,0.093750,2679,10000
65845,True,1,6173,1,64,0.265625,32922,10000
418017,True,17,201103,1,64,0.359131,209008,10000
416385,True,3,175663,1,64,0.140625,208192,10000
13089,True,4,2071,1,64,0.203125,6544,10000
1001,True,14,143,1,64,0.117188,500,10000
26995,True,3,11389,1,64,0.062500,13497,10000
155,True,25,61,1,64,0.375000,77,10000
880407,True,3,185711,1,64,0.078125,440203,10000
246595,True,2,69355,1,64,0.199219,123297,10000
99,True,2,7,1,64,0.656250,49,10000
163,True,2,23,1,64,0.656250,81,10000
157,True,1,59,1,64,0.609375,78,10000
66867,True,3,14105,1,64,0.468750,33433,10000
5,True,1,1,1,64,0.734375,2,10000
36895,True,12,4675,1,64,0.421875,18447,10000
7771,True,7,2075,1,64,0.289062,3885,10000
125,True,1,47,1,64,0.281250,62,10000
73,True,38,23,1,64,0.250000,36,10000
705,True,3,149,1,64,0.656250,352,10000
1015,True,6,181,1,64,0.625000,507,10000
11,True,3,5,1,64,0.703125,5,10000
33,True,4,11,1,64,0.671875,16,10000
2681,True,6,955,1,64,0.608398,1340,10000
100745,True,10,11347,1,64,0.125000,50372,10000
77915,True,12,19745,1,64,0.046875,38957,10000
16421,True,1,3079,1,64,0.062500,8210,10000
1099,True,3,29,1,64,0.664062,549,10000
17,True,2,5,1,64,0.718750,8,10000
4691,True,7,1253,1,64,0.093750,2345,10000
2229,True,1,209,1,64,0.593750,1114,10000
28375,True,3,11971,1,64,0.343750,14187,10000
4951,True,3,2089,1,64,0.484375,2475,10000
272269,True,1,102101,1,64,0.507812,136134,10000
1673,True,13,637,1,64,0.406250,836,10000
53361,True,2,469,1,64,0.691406,26680,10000
2893,True,1,1085,1,64,0.578125,1446,10000
2377,True,5,1129,1,64,0.592773,1188,10000
425345,True,3,179443,1,64,0.093750,212672,10000
744197,True,1,139537,1,64,0.062500,372098,10000
5,True,1,1,1,64,0.734375,2,10000
8159,True,8,817,1,64,0.515625,4079,10000
7,True,5,1,1,64,0.687500,3,10000
101,True,1,19,1,64,0.656250,50,10000
804995,True,2,226405,1,64,0.078125,402497,10000
155215,True,5,73667,1,64,0.406250,77607,10000
18511,True,5,4393,1,64,0.089844,9255,10000
231,True,7,31,1,64,0.203125,115,10000
17883,True,5,1061,1,64,0.164062,8941,10000
66287,True,14,9449,1,64,0.398438,33143,10000
2009,True,3,53,1,64,0.695312,1004,10000
27,True,40,5,1,64,0.265625,13,10000
140373,True,1,1645,1,64,0.167969,70186,10000
18405,True,1,3451,1,64,0.562500,9202,10000
13353,True,8,1337,1,64,0.530273,6676,10000
20611,True,2,5797,1,64,0.140625,10305,10000
14593,True,3,6157,1,64,0.625000,7296,10000
199325,True,1,74747,1,64,0.062500,99662,10000
23,True,3,5,1,64,0.687500,11,10000
18779,True,6,6685,1,64,0.546875,9389,10000
7265,True,5,3449,1,64,0.062500,3632,10000
18343,True,12,4649,1,64,0.140625,9171,10000
85,True,1,1,1,64,0.746094,42,10000
13,True,1,5,1,64,0.718750,6,10000
84567,True,3,35677,1,64,0.515625,42283,10000
453537,True,5,107627,1,64,0.140625,226768,10000
65,True,3,7,1,64,0.671875,32,10000
5,True,1,1,1,64,0.734375,2,10000
345,True,3,73,1,64,0.218750,172,10000
20109,True,1,7541,1,64,0.171875,10054,10000
67269,True,1,12613,1,64,0.468750,33634,10000
956037,True,1,179257,1,64,0.515625,478018,10000
757721,True,3,19979,1,64,0.085938,378860,10000
58097,True,2,4085,1,64,0.515625,29048,10000
108277,True,1,10151,1,64,0.093750,54138,10000
13299,True,3,5611,1,64,0.046875,6649,10000
1067,True,4,169,1,64,0.515625,533,10000
533023,True,9,20011,1,64,0.093750,266511,10000
155,True,25,61,1,64,0.375000,77,10000
557,True,1,209,1,64,0.593750,278,10000
15153,True,2,2131,1,64,0.453125,7576,10000
374909,True,1,140591,1,64,0.054688,187454,10000
2951,True,4,467,1,64,0.328125,1475,10000
717,True,1,269,1,64,0.625000,358,10000
3063,True,6,1091,1,64,0.515625,1531,10000
279191,True,3,14723,1,64,0.164062,139595,10000
375859,True,3,79283,1,64,0.574219,187929,10000
223997,True,1,83999,1,64,0.359375,111998,10000
9,True,6,1,1,64,0.687500,4,10000
77,True,1,29,1,64,0.671875,38,10000
36753,True,2,10337,1,64,0.156250,18376,10000
3187,True,3,1345,1,64,0.265625,1593,10000
10929,True,2,1537,1,64,0.109375,5464,10000
501,True,1,47,1,64,0.281250,250,10000
515,True,2,145,1,64,0.234375,257,10000
90081,True,14,12841,1,64,0.109375,45040,10000
141,True,1,53,1,64,0.703125,70,10000
3169,True,5,1505,1,64,0.592773,1584,10000
86431,True,22,19735,1,64,0.203125,43215,10000
5,True,1,1,1,64,0.734375,2,10000
17,True,2,5,1,64,0.718750,8,10000
231,True,7,31,1,64,0.203125,115,10000
41,True,39,5,1,64,0.281250,20,10000
55,True,37,23,1,64,0.250000,27,10000
615,True,8,247,1,64,0.468750,307,10000
2995,True,3,79,1,64,0.546875,1497,10000
509895,True,7,68063,1,64,0.242188,254947,10000
11,True,3,5,1,64,0.703125,5,10000
17,True,2,5,1,64,0.718750,8,10000
10687,True,13,4063,1,64,0.359375,5343,10000
109281,True,11,36925,1,64,0.281250,54640,10000
53427,True,3,5635,1,64,0.359375,26713,10000
7,True,5,1,1,64,0.687500,3,10000
349,True,1,131,1,64,0.625000,174,10000
9,True,6,1,1,64,0.687500,4,10000
31565,True,1,11837,1,64,0.296875,15782,10000
83,True,36,23,1,64,0.265625,41,10000
139,True,3,59,1,64,0.593750,69,10000
29,True,1,11,1,64,0.687500,14,10000
21,True,1,1,1,64,0.734375,10,10000
2159,True,11,365,1,64,0.218750,1079,10000
17,True,2,5,1,64,0.718750,8,10000
96209,True,2,27059,1,64,0.621094,48104,10000
5,True,1,1,1,64,0.734375,2,10000
13,True,1,5,1,64,0.718750,6,10000
53,True,1,5,1,64,0.718750,26,10000
1167,True,6,13,1,64,0.636719,583,10000
170871,True,4,54065,1,64,0.605469,85435,10000
21,True,1,1,1,64,0.734375,10,10000
91659,True,3,38669,1,64,0.468750,45829,10000
869583,True,7,232151,1,64,0.375000,434791,10000
144509,True,1,54191,1,64,0.085938,72254,10000
13,True,1,5,1,64,0.718750,6,10000
431,True,5,205,1,64,0.593750,215,10000
2291,True,3,967,1,64,0.140625,1145,10000
67,True,2,19,1,64,0.640625,33,10000
15185,True,2,4271,1,64,0.062500,7592,10000
95271,True,5,45217,1,64,0.542969,47635,10000
231069,True,1,86651,1,64,0.125000,115534,10000
2249,True,4,89,1,64,0.601562,1124,10000
573209,True,3,241823,1,64,0.123047,286604,10000
631099,True,4,49921,1,64,0.570312,315549,10000
167,True,18,61,1,64,0.453125,83,10000
381,True,1,143,1,64,0.265625,190,10000
72747,True,4,11509,1,64,0.500000,36373,10000
437537,True,4,17305,1,64,0.546875,218768,10000
128457,True,4,40645,1,64,0.562500,64228,10000
77,True,1,29,1,64,0.671875,38,10000
305743,True,5,145109,1,64,0.335938,152871,10000
258641,True,2,72743,1,64,0.187500,129320,10000
117,True,1,11,1,64,0.687500,58,10000
55,True,37,23,1,64,0.250000,27,10000
227,True,2,1,1,64,0.733398,113,10000
831,True,9,125,1,64,0.171875,415,10000
1045,True,1,49,1,64,0.656250,522,10000
416997,True,1,78187,1,64,0.437500,208498,10000
149,True,1,7,1,64,0.671875,74,10000
17,True,2,5,1,64,0.718750,8,10000
11,True,3,5,1,64,0.703125,5,10000
3,True,2,1,1,64,0.718750,1,10000
103,True,27,23,1,64,0.359375,51,10000
27,True,40,5,1,64,0.265625,13,10000
101633,True,3,42877,1,64,0.078125,50816,10000
373,True,1,35,1,64,0.687500,186,10000
5,True,1,1,1,64,0.734375,2,10000
409,True,3,173,1,64,0.625000,204,10000
29,True,1,11,1,64,0.687500,14,10000
1415,True,4,7,1,64,0.655273,707,10000
729,True,3,77,1,64,0.640625,364,10000
